X,Y,OBJECTID,TRAILSYSID,SITENAME,SITEADDR,TOWNNO,PARKING,TRAILRPKNG,RESTROOM,FOOD,WATER,OPENWHEN,PARKINGNUM
1056898.242,838642.755999997,72,212,Keeney St.,Keeney St.,77,Non Parking,False,False,False,False,Year-round,0
1053340.43799999,839226.063999996,73,212,Bidwell St.,Bidwell St.,77,Non Parking,False,False,False,False,Year-round,0
1021216.361,839110.553000003,74,210,Prospect St.,Prospect St.,64,Non Parking,False,False,False,False,Year-round,0
1022760.859,843252.121999994,75,212,Riverside Park,E Service Rd.,64,Parking Lot,False,False,False,False,Year-round,100
1022066.89399999,842510.855000004,76,210,Pequot St.,Pequot St.,64,Parking Lot,False,False,False,False,Year-round,100
1023427.844,836934.111000001,77,210,Van Dyke Ave,Van Dyke Ave,64,Non Parking,False,False,False,False,Year-round,0
1027922.73999999,837325.131999999,78,210,Silver Lane,Silver Lane,43,Non Parking,False,False,False,False,Year-round,0
1024461.64,837644.901999995,79,210,Great River Park,River Dr.,43,Parking Lot,False,False,False,False,Year-round,50
1023689.353,839918.902999997,80,210,River Dr.,River Dr.,43,Roadside Parking,False,False,False,False,Year-round,2
1024586.82700001,839476.670000002,81,210,Founder's Bridge,Pitkin St.,43,Non Parking,False,False,False,False,Year-round,0
1024724.48100001,835795.794,82,210,Charter Oak Landing,Reserve Rd.,64,Parking Lot,False,False,False,False,Year-round,30
1014525.259,752486.494000003,83,1,  Cherry Hill Rd., Cherry Hill Rd.,82,Parking Lot,Unknown,Unknown,Unknown,Unknown,Unknown,0
1033043.06299999,735702.718999997,84,72,Miller's Pond,Foot Hills Rd.,61,Parking Lot,Unknown,Unknown,Unknown,Unknown,Unknown,0
1063857.757,710285.910999998,85,17,,Cedar Lake Rd.,26,No Parking,Unknown,Unknown,Unknown,Unknown,Unknown,0
1064798.346,710046.834999993,86,17,,Cedar Lake Rd.,26,Parking Lot,Unknown,Unknown,Unknown,Unknown,Unknown,0
1053613.138,726667.215000004,87,17,,Hwy 81,61,Parking Lot,Unknown,Unknown,Unknown,Unknown,Unknown,0
1061691.57099999,709325.288000003,88,17,Pattaconk Reservoir,State Forest Rd.,26,Parking Lot,Unknown,Unknown,Unknown,Unknown,Unknown,0
1061799.793,709649.224999994,89,17,Pattaconk Reservoir,State Forest Rd.,26,Parking Lot,Unknown,Unknown,Unknown,Unknown,Unknown,0
1061453.227,709278.555999994,90,17,Pattaconk Reservoir,State Forest Rd.,26,Parking Lot,Unknown,Unknown,Unknown,Unknown,Unknown,0
1053584.589,726617.273000002,91,17,,Hwy 81,61,Parking Lot,Unknown,Unknown,Unknown,Unknown,Unknown,0
1031406.92299999,679842.075000003,92,17,,Blinnished Rd.,76,Parking Lot,Unknown,Unknown,Unknown,Unknown,Unknown,0
1069477.611,691930.878999993,93,17,,Hwy 80,36,Parking Lot,Unknown,Unknown,Unknown,Unknown,Unknown,0
1066956.346,691660.652999997,94,17,,Spruce Ledge Rd.,36,Parking Lot,Unknown,Unknown,Unknown,Unknown,Unknown,0
1067625.45999999,697195.924999997,95,17,,Hwy 145,36,Parking Lot,Unknown,Unknown,Unknown,Unknown,Unknown,0
1017472.538,756196.457000002,96,1,Wadsworth Falls,Wadsworth Rd.,83,Parking Lot,False,False,False,False,Year-round,0
1014525.259,752486.494000003,97,1,Wadsworth Falls,Cherry Hill Rd.,82,Parking Lot,False,False,False,False,Year-round,0
957264.253000006,711066.861000001,98,208,Sherman Ave.,Sherman Ave.,62,Parking Lot,False,False,False,False,Year-round,50
956937.320999995,715547.781000003,99,208,Todd St.,Todd St.,62,Parking Lot,False,False,False,False,Year-round,10
